,City,Cloudiness ,Country ,Date,Humidity ,Lat,Lng,Max Temp,Wind Speed
144,henties bay,47,na,1561621543,83,-22.12,14.28,13.89,0.89
145,high level,75,ca,1561622101,77,58.52,-117.13,15.0,5.1
146,saint george,20,bm,1561622101,40,39.45,22.34,30.56,3.1
147,tecoanapa,40,mx,1561622102,88,16.99,-99.26,28.0,1.5
148,sechura,0,pe,1561621314,88,-5.56,-80.82,17.56,3.66
149,taltal,49,cl,1561622102,91,-25.41,-70.49,7.86,0.41
150,kutum,0,sd,1561622102,23,14.2,24.66,32.36,2.03
151,vila velha,40,br,1561622103,83,-3.71,-38.6,25.0,3.1
152,charleston,40,us,1561621418,94,32.79,-79.94,24.44,1.39
153,xinyu,24,cn,1561622103,73,27.8,114.93,31.16,2.04
154,skibbereen,75,ie,1561622104,77,51.55,-9.27,16.0,7.7
155,norman wells,75,ca,1561621552,70,65.28,-126.83,8.0,1.5
156,balsas,0,br,1561621960,71,-7.53,-46.04,20.56,2.27
157,texarkana,1,us,1561622105,83,33.44,-94.04,22.22,1.5
158,selfoss,90,is,1561622105,87,63.94,-21.0,11.67,5.1
159,severodvinsk,40,ru,1561622106,48,64.56,39.82,18.0,4.0
160,san policarpo,99,ph,1561622106,76,12.18,125.51,28.66,1.21
161,snyder,1,us,1561622107,78,32.72,-100.92,23.89,4.1
162,pevek,100,ru,1561621569,73,69.7,170.27,2.16,12.24
163,molango,91,mx,1561622108,98,20.79,-98.73,17.76,0.15
164,otane,0,nz,1561622108,93,-39.89,176.62,3.33,0.93
165,aberdeen,90,us,1561622108,87,46.98,-123.82,14.44,3.6
166,okato,11,nz,1561621687,78,-39.19,173.88,7.78,2.78
167,turukhansk,100,ru,1561621591,73,65.8,87.96,21.66,9.47
168,klaksvik,90,fo,1561621608,100,62.23,-6.59,10.0,6.2
169,isangel,100,vu,1561621591,86,-19.55,169.27,24.36,3.08
170,butaritari,0,ki,1561621527,75,3.07,172.79,28.76,6.31
171,kamenka,40,ru,1561622110,57,48.03,28.7,26.67,1.34
172,clyde river,20,ca,1561621387,63,70.47,-68.59,0.0,1.5
173,vasterhaninge,75,se,1561622111,67,59.12,18.1,15.0,7.2
174,baoying,75,cn,1561622111,52,33.24,119.31,30.76,2.86
175,formosa,0,ar,1561621686,63,-15.55,-47.33,15.46,0.78
176,leningradskiy,100,ru,1561622111,86,69.38,178.42,1.26,1.95
177,green river,1,us,1561622112,16,41.53,-109.47,17.0,2.94
178,padang,14,id,1561621544,70,-0.92,100.36,29.06,2.31
179,hot springs,1,us,1561622112,100,34.5,-93.06,23.89,0.83
180,nanortalik,100,gl,1561621644,98,60.14,-45.24,2.26,2.32
181,helena,1,us,1561621840,71,46.59,-112.04,13.0,3.1
182,mahibadhoo,100,mv,1561621677,74,3.78,72.97,28.96,4.94
183,dhidhdhoo,91,mv,1561621635,73,6.88,73.1,28.66,5.48
184,burns lake,71,ca,1561622114,69,54.23,-125.76,9.86,2.6
185,pangnirtung,0,ca,1561621582,68,66.15,-65.72,7.56,0.76
186,nouakchott,0,mr,1561622115,37,18.08,-15.98,28.0,3.6
187,sitka,22,us,1561621524,77,37.17,-99.65,22.78,4.47
188,trairi,94,br,1561621577,97,-3.28,-39.27,21.66,2.44
189,lazaro cardenas,100,mx,1561621670,55,28.39,-105.62,22.96,1.8
